Audit query,Category,Read V2 5B code,Read term,Extracted data,Use in analysis
7,Oxygen therapy,pc11,BOC 33022 oxygen set,In the last four years,Code recorded in the last six months
7,Oxygen therapy,pc12,MEDISHIELD DOM MDS240 oxygen set x1,In the last four years,Code recorded in the last six months
7,Oxygen therapy,pc13,OXYLITRE MR210 oxygen set x1,In the last four years,Code recorded in the last six months
7,Oxygen therapy,pc14,AIR APP & VALVE D24 oxygen set x1,In the last four years,Code recorded in the last six months
7,Oxygen therapy,pc15,OHMEDA DOM-2/4 1550033 oxygen set,In the last four years,Code recorded in the last six months
7,Oxygen therapy,pc16,OXYGEN GIVING SET,In the last four years,Code recorded in the last six months
7,Oxygen therapy,pc17,BOC DOMIFLOW OXYGEN 888830 set,In the last four years,Code recorded in the last six months
7,Oxygen therapy,pc18,PURITAN BENNETT 778435 oxygen set,In the last four years,Code recorded in the last six months
7,Oxygen therapy,pc19,SABRE MEDICAL OXYDOM oxygen set,In the last four years,Code recorded in the last six months
7,Oxygen therapy,pc1A,THERAPY EQUIPMENT DIALREG 5120 oxygen set,In the last four years,Code recorded in the last six months
7,Oxygen therapy,pc1B,OXYLITRE M410 oxygen set,In the last four years,Code recorded in the last six months
7,Oxygen therapy,pc2,OXYGEN MASKS,In the last four years,Code recorded in the last six months
7,Oxygen therapy,pc21,INTERSURGICAL 28%/010 oxygen mask,In the last four years,Code recorded in the last six months
7,Oxygen therapy,pc22,VENTIMASK 28%/MK1V oxygen mask,In the last four years,Code recorded in the last six months
7,Oxygen therapy,pc23,INTERSURGICAL 005 oxygen mask,In the last four years,Code recorded in the last six months
7,Oxygen therapy,pc24,MC oxygen mask,In the last four years,Code recorded in the last six months
7,Oxygen therapy,pc25,VENTICAIRE oxygen mask,In the last four years,Code recorded in the last six months
7,Oxygen therapy,pc26,VENTICAIRE 28% Venturi oxygen mask,In the last four years,Code recorded in the last six months
7,Oxygen therapy,pc3,OXYGEN CYLINDERS,In the last four years,Code recorded in the last six months
7,Oxygen therapy,pc31,OXYGEN BP 1360litres cylinder,In the last four years,Code recorded in the last six months
7,Oxygen therapy,pc32,OXYGEN GAS cylinder AD,In the last four years,Code recorded in the last six months
7,Oxygen therapy,pc33,OXYGEN GAS cylinder AF 1360L,In the last four years,Code recorded in the last six months
7,Oxygen therapy,pc34,OXYGEN GAS cylinder C,In the last four years,Code recorded in the last six months
7,Oxygen therapy,pc35,OXYGEN GAS cylinder D,In the last four years,Code recorded in the last six months
7,Oxygen therapy,pc36,OXYGEN GAS cylinder E,In the last four years,Code recorded in the last six months
7,Oxygen therapy,pc37,OXYGEN GAS cylinder F 1360L,In the last four years,Code recorded in the last six months
7,Oxygen therapy,pc38,OXYGEN GAS cylinder G,In the last four years,Code recorded in the last six months
7,Oxygen therapy,pc39,OXYGEN GAS cylinder J,In the last four years,Code recorded in the last six months
7,Oxygen therapy,pc3A,OXYGEN GAS cylinder PD,In the last four years,Code recorded in the last six months
7,Oxygen therapy,pc3B,OXYGEN GAS cylinder SD,In the last four years,Code recorded in the last six months
7,Oxygen therapy,pc3C,OXYGEN gas cylinder DD,In the last four years,Code recorded in the last six months
7,Oxygen therapy,pc3D,OXYGEN gas cylinder HD,In the last four years,Code recorded in the last six months
7,Oxygen therapy,pc3E,OXYGEN gas cylinder RD,In the last four years,Code recorded in the last six months
7,Oxygen therapy,pc3F,OXYGEN gas cylinder DF,In the last four years,Code recorded in the last six months
7,Oxygen therapy,pc3G,OXYGEN gas cylinder HX,In the last four years,Code recorded in the last six months
7,Oxygen therapy,pc3H,OXYGEN GAS cylinder FC,In the last four years,Code recorded in the last six months
7,Oxygen therapy,pc4,OXYGEN CONCENTRATOR,In the last four years,Code recorded in the last six months
7,Oxygen therapy,pc41,OXYGEN CONCENTRATOR 1,In the last four years,Code recorded in the last six months
7,Oxygen therapy,pc5,OXYGEN NASAL CANNULA,In the last four years,Code recorded in the last six months
