Comorbidity,Read V2 5B code,Read term
Coronary heart disease,79263,Single implantation thoracic artery into coronary artery NEC
Coronary heart disease,7926z,Connection of other thoracic artery to coronary artery NOS
Coronary heart disease,79275,Open angioplasty of coronary artery
Coronary heart disease,7928,Transluminal balloon angioplasty of coronary artery
Coronary heart disease,79280,Percut transluminal balloon angioplasty one coronary artery
Coronary heart disease,79281,Percut translum balloon angioplasty mult coronary arteries
Coronary heart disease,79282,Percut translum balloon angioplasty bypass graft coronary a
Coronary heart disease,79283,Percut translum cutting balloon angioplasty coronary artery
Coronary heart disease,7928y,Transluminal balloon angioplasty of coronary artery OS
Coronary heart disease,7928z,Transluminal balloon angioplasty of coronary artery NOS
Coronary heart disease,79290,Percutaneous transluminal laser coronary angioplasty
Coronary heart disease,79293,Rotary blade coronary angioplasty
Coronary heart disease,79294,Insertion of coronary artery stent
Coronary heart disease,79295,Insertion of drug-eluting coronary artery stent
Coronary heart disease,79296,Percutaneous transluminal atherectomy of coronary artery
Coronary heart disease,792B0,Endarterectomy of coronary artery NEC
Coronary heart disease,792C,Other replacement of coronary artery
Coronary heart disease,792C0,Replacement of coronary arteries using multiple methods
Coronary heart disease,792Cy,Other specified replacement of coronary artery
Coronary heart disease,792Cz,Replacement of coronary artery NOS
Coronary heart disease,792D,Other bypass of coronary artery
Coronary heart disease,792Dy,Other specified other bypass of coronary artery
Coronary heart disease,792Dz,Other bypass of coronary artery NOS
Coronary heart disease,793G,Perc translumin balloon angioplasty stenting coronary artery
Coronary heart disease,793G0,Perc translum ball angio insert 1-2 drug elut stents cor art
Coronary heart disease,793G1,Perc tran ball angio ins 3 or more drug elut stents cor art
Coronary heart disease,793G2,Perc translum balloon angioplasty insert 1-2 stents cor art
Coronary heart disease,793G3,Percutaneous cor balloon angiop 3 more stents cor art NEC
Coronary heart disease,793Gy,OS perc translumina balloon angioplast stenting coronary art
Coronary heart disease,793Gz,Perc translum balloon angioplasty stenting coronary art NOS
Coronary heart disease,7A540,Transluminal balloon angioplasty of coronary artery NOS
Coronary heart disease,7A545,Rotary blade angioplasty
Coronary heart disease,7A548,Percutaneous transluminal atherectomy
Coronary heart disease,7A564,Percutaneous transluminal balloon angioplasty of artery
Coronary heart disease,7A6G1,Peroperative angioplasty
Coronary heart disease,8B27,antianginal therapy
Coronary heart disease,8HTG,referred to acute chest pain clinic
Coronary heart disease,8HTJ,referral to rapid access chest pain clinic
Coronary heart disease,8IEY,referral to angina plan self-management programme declined
Coronary heart disease,8T04,referral to angina plan self-management programme
Coronary heart disease,9N0f,seen in rapid access chest pain clinic
Coronary heart disease,G311,unstable angina
Coronary heart disease,G3111,unstable angina
Coronary heart disease,G3112,angina at rest
Coronary heart disease,G3113,refractory angina
Coronary heart disease,G3114,worsening angina
Coronary heart disease,G3115,acute coronary syndrome
Coronary heart disease,G311z,preinfarction syndrome nos
Coronary heart disease,G312,Coronary thrombosis not resulting in myocardial infarction
Coronary heart disease,G31y0,Acute coronary insufficiency
Coronary heart disease,G33,angina pectoris
Coronary heart disease,G330,angina decubitus
Coronary heart disease,G3300,nocturnal angina
Coronary heart disease,G330z,angina decubitus nos
Coronary heart disease,G331,variant angina pectoris
Coronary heart disease,G332,coronary artery spasm
Coronary heart disease,G33z,angina pectoris nos
Coronary heart disease,G33z3,angina on effort
Coronary heart disease,G33z4,ischaemic chest pain
Coronary heart disease,G33z5,post infarct angina
Coronary heart disease,G33z6,new onset angina
Coronary heart disease,G33z7,stable angina
Coronary heart disease,G33zz,angina pectoris nos
Coronary heart disease,G34y0,Chronic coronary insufficiency
Coronary heart disease,Gyu30,[x]other forms of angina pectoris
Coronary heart disease,R065,[d]chest pain
Coronary heart disease,R0650,"[d]chest pain, unspecified"
Coronary heart disease,R065C,[d]retrosternal chest pain
Coronary heart disease,R065D,[d]central chest pain
Coronary heart disease,R065z,[d]chest pain nos
Coronary heart disease,SP076,Coronary artery bypass graft occlusion
Coronary heart disease,ZR37,canadian cardiovascular society classification of angina
Coronary heart disease,ZR3P,clasp angina score
Coronary heart disease,ZRB1,euroscore for angina
Coronary heart disease,ZV457,[V]Presence of aortocoronary bypass graft
Coronary heart disease,ZV458,[V]Presence of coronary angioplasty implant and graft
Coronary heart disease,ZV45K,[V]Presence of coronary artery bypass graft
