Audit query,Category,Read V2 5B code,Read term,Extracted data,Use in analysis
6,Antibiotics,e91g,ERYTHROLAR 250mg/5mL suspension,In the last four years,Code recorded in the last year
6,Antibiotics,e91h,ERYTHROMID 250mg tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e91i,ERYTHROMID DS 500mg tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e91j,ERYTHROPED P.I. 125mg/5mL suspension,In the last four years,Code recorded in the last year
6,Antibiotics,e91k,ERYTHROPED 250mg/5mL suspension 140mL,In the last four years,Code recorded in the last year
6,Antibiotics,e91l,ERYTHROPED 250mg/sachet sugar free granules,In the last four years,Code recorded in the last year
6,Antibiotics,e91m,ERYTHROPED FORTE 500mg/5mL suspension,In the last four years,Code recorded in the last year
6,Antibiotics,e91n,ERYTHROPED A 500mg tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e91o,ILOSONE 250mg capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e91p,ILOSONE 500mg tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e91q,ILOSONE 125mg/5mL suspension,In the last four years,Code recorded in the last year
6,Antibiotics,e91r,ILOSONE FORTE 250mg/5mL suspension,In the last four years,Code recorded in the last year
6,Antibiotics,e91s,ILOTYCIN 250mg tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e91t,RETCIN 250mg tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e91u,ERYTHROMYCIN 125mg/5mL suspension,In the last four years,Code recorded in the last year
6,Antibiotics,e91v,ERYTHROMYCIN 250mg/5mL suspension,In the last four years,Code recorded in the last year
6,Antibiotics,e91w,ERYTHROMYCIN 500mg/5mL suspension,In the last four years,Code recorded in the last year
6,Antibiotics,e91x,ERYTHROPED A 1g/sachet granules,In the last four years,Code recorded in the last year
6,Antibiotics,e91y,ERYMAX SPRINKLE 125mg capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e91z,ERYTHROPED 250mg/sachet granules,In the last four years,Code recorded in the last year
6,Antibiotics,e92,CLARITHROMYCIN,In the last four years,Code recorded in the last year
6,Antibiotics,e921,CLARITHROMYCIN 250mg tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e922,KLARICID 250mg tablets 14CP,In the last four years,Code recorded in the last year
6,Antibiotics,e923,CLARITHROMYCIN 125mg/5mL paediatric suspension,In the last four years,Code recorded in the last year
6,Antibiotics,e924,KLARICID 125mg/5mL paediatric suspension,In the last four years,Code recorded in the last year
6,Antibiotics,e925,CLARITHROMYCIN 500mg injection (pdr for recon),In the last four years,Code recorded in the last year
6,Antibiotics,e926,KLARICID IV 500mg injection (pdr for recon),In the last four years,Code recorded in the last year
6,Antibiotics,e927,CLARITHROMYCIN 500mg tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e928,KLARICID 500mg tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e929,CLARITHROMYCIN 500mg m/r tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e92A,KLARICID XL 500mg m/r tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e92B,CLARITHROMYCIN 250mg/sachet granules,In the last four years,Code recorded in the last year
6,Antibiotics,e92C,KLARICID adult 250mg/sachet granules,In the last four years,Code recorded in the last year
6,Antibiotics,e92D,CLARITHROMYCIN 250mg/5mL paediatric suspension,In the last four years,Code recorded in the last year
6,Antibiotics,e92E,KLARICID 250mg/5mL paediatric suspension,In the last four years,Code recorded in the last year
6,Antibiotics,e92F,CLARITHROMYCIN 125mg granules straw,In the last four years,Code recorded in the last year
6,Antibiotics,e92G,CLAROSIP 125mg granules straw,In the last four years,Code recorded in the last year
6,Antibiotics,e92H,CLARITHROMYCIN 187.5mg granules straw,In the last four years,Code recorded in the last year
6,Antibiotics,e92I,CLAROSIP 187.5mg granules straw,In the last four years,Code recorded in the last year
6,Antibiotics,e92J,CLARITHROMYCIN 250mg granules straw,In the last four years,Code recorded in the last year
6,Antibiotics,e92K,CLAROSIP 250mg granules straw,In the last four years,Code recorded in the last year
6,Antibiotics,e92L,XETININ XL 500mg m/r tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e92M,FEBZIN XL 500mg m/r tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e92N,MYCIFOR XL 500mg m/r tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e93,AZITHROMYCIN DIHYDRATE,In the last four years,Code recorded in the last year
6,Antibiotics,e931,AZITHROMYCIN 250mg capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e932,AZITHROMYCIN 40mg/mL suspension,In the last four years,Code recorded in the last year
6,Antibiotics,e933,ZITHROMAX 250mg capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e934,ZITHROMAX 40mg/mL suspension 15mL,In the last four years,Code recorded in the last year
6,Antibiotics,e935,ZITHROMAX 40mg/mL suspension 22.5mL,In the last four years,Code recorded in the last year
6,Antibiotics,e936,ZITHROMAX 40mg/mL suspension 30mL,In the last four years,Code recorded in the last year
6,Antibiotics,e937,AZITHROMYCIN 500mg tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e938,ZITHROMAX 500mg tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e939,CLAMELLE AZITHROMYCIN 500mg tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e93A,AZYTER 15mg/g single-dose eye drops 0.25g,In the last four years,Code recorded in the last year
6,Antibiotics,e93B,AZITHROMYCIN DIHYDRATE 15mg/g single-dose eye drops,In the last four years,Code recorded in the last year
6,Antibiotics,e93C,ZEDBAC 500mg powder for solution for infusion,In the last four years,Code recorded in the last year
6,Antibiotics,e93D,AZITHROMYCIN 500mg powder for solution for injection,In the last four years,Code recorded in the last year
6,Antibiotics,e94,SPIRAMYCIN,In the last four years,Code recorded in the last year
6,Antibiotics,e941,SPIRAMYCIN 250mg tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e942,ROVAMYCINE 250mg tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e943,SPIRAMYCIN 125mg/5mL syrup,In the last four years,Code recorded in the last year
6,Antibiotics,e944,ROVAMYCINE 125mg/5mL syrup,In the last four years,Code recorded in the last year
6,Antibiotics,e95,ERYTHROMYCIN [2],In the last four years,Code recorded in the last year
6,Antibiotics,e951,PRIMACINE 125mg/5mL suspension 140mL,In the last four years,Code recorded in the last year
6,Antibiotics,e952,PRIMACINE 250mg/5mL suspension 100mL,In the last four years,Code recorded in the last year
6,Antibiotics,e953,PRIMACINE 250mg/5mL suspension 140mL,In the last four years,Code recorded in the last year
6,Antibiotics,e954,PRIMACINE 500mg/5mL suspension 100mL,In the last four years,Code recorded in the last year
6,Antibiotics,e955,PRIMACINE 500mg/5mL suspension 140mL,In the last four years,Code recorded in the last year
6,Antibiotics,e96,TELITHROMYCIN,In the last four years,Code recorded in the last year
6,Antibiotics,e961,TELITHROMYCIN 400mg tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e96a,KETEK 400mg tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e75,DOXYCYCLINE,In the last four years,Code recorded in the last year
6,Antibiotics,e751,DOXATET 100mg tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e752,DOXYLAR 100mg capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e753,NORDOX 100mg capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e754,VIBRAMYCIN 50mg capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e755,VIBRAMYCIN 100mg capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e756,VIBRAMYCIN 50mg/5mL syrup,In the last four years,Code recorded in the last year
6,Antibiotics,e757,VIBRAMYCIN-D 100mg dispersible tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e758,DOXYCYCLINE 100mg capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e759,DEMIX-100 100mg capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e75A,RAMYSIS 100mg capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e75B,DEMIX-50 50mg capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e75C,CYCLODOX 100mg capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e75D,VIBRAMYCIN ACNE PACK 50mg capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e75E,DOXYLAR 50mg capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e75F,PERIOSTAT 20mg capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e75G,PERIOSTAT 20mg tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e75H,EFRACEA 40mg m/r capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e75s,DOXYCYCLINE 40mg m/r capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e75t,DOXYCYCLINE 20mg tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e75u,DOXYCYCLINE 20mg capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e75v,DOXYCYCLINE 100mg tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e75w,DOXYCYCLINE 100mg capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e75x,DOXYCYCLINE 50mg capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e75y,DOXYCYCLINE 50mg/5mL syrup,In the last four years,Code recorded in the last year
6,Antibiotics,e75z,DOXYCYCLINE 100mg dispersible tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e3,BROAD SPECTRUM PENICILLINS,In the last four years,Code recorded in the last year
6,Antibiotics,e31,AMOXICILLIN,In the last four years,Code recorded in the last year
6,Antibiotics,e311,AMOXICILLIN 250mg capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e312,AMOXICILLIN 500mg capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e313,AMOXIDIN 250mg capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e314,AMOXIDIN 500mg capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e315,AMOXIL 250mg capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e316,AMOXIL 500mg capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e317,AMOXIL 500mg dispersible tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e318,AMOXIL 125mg/5mL syrup,In the last four years,Code recorded in the last year
6,Antibiotics,e319,AMOXIL SF 125mg/5mL syrup,In the last four years,Code recorded in the last year
6,Antibiotics,e31A,AMIX 125mg/5mL suspension,In the last four years,Code recorded in the last year
6,Antibiotics,e31B,AMIX 250mg/5mL suspension,In the last four years,Code recorded in the last year
6,Antibiotics,e31C,AMRIT 125mg/5mL suspension,In the last four years,Code recorded in the last year
6,Antibiotics,e31D,AMRIT 250mg/5mL suspension,In the last four years,Code recorded in the last year
6,Antibiotics,e31E,AMRIT 250mg capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e31F,AMRIT 500mg capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e31G,AMOPEN 250mg capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e31H,AMOPEN 500mg capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e31I,AMOPEN 125mg/5mL suspension,In the last four years,Code recorded in the last year
6,Antibiotics,e31J,AMOPEN 250mg/5mL suspension,In the last four years,Code recorded in the last year
6,Antibiotics,e31K,FLEMOXIN SOLUTAB 375mg dispersible tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e31L,FLEMOXIN SOLUTAB 750mg dispersible tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e31M,AMOXIL FIZTAB 125mg chewable tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e31N,AMOXIL FIZTAB 250mg chewable tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e31O,AMOXIL FIZTAB 500mg chewable tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e31P,AUGMENTIN 250/62 in 5mL suspension,In the last four years,Code recorded in the last year
6,Antibiotics,e31Q,CO-AMOXICLAV 125/31mg in 5mL suspension,In the last four years,Code recorded in the last year
6,Antibiotics,e31R,AMOXYMED 250mg capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e31S,AMOXYMED 125mg/5mL syrup,In the last four years,Code recorded in the last year
6,Antibiotics,e31T,AUGMENTIN 625mg tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e31U,CO-AMOXICLAV 625mg tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e31V,ALMODAN 125mg/5mL sugar free syrup,In the last four years,Code recorded in the last year
6,Antibiotics,e31W,ALMODAN 250mg/5mL sugar free syrup,In the last four years,Code recorded in the last year
6,Antibiotics,e31X,CO-AMOXICLAV 400/57mg in 5mL sugar free suspension,In the last four years,Code recorded in the last year
6,Antibiotics,e31Y,AUGMENTIN-DUO 400/57 in 5mL sugar free suspension,In the last four years,Code recorded in the last year
6,Antibiotics,e31a,AMOXIL SF 250mg/5mL syrup,In the last four years,Code recorded in the last year
6,Antibiotics,e31b,AMOXIL 125mg/1.25mL paediatric suspension,In the last four years,Code recorded in the last year
6,Antibiotics,e31c,AMOXIL SF 750mg sachets,In the last four years,Code recorded in the last year
6,Antibiotics,e31d,AMOXIL SF 3g sachets,In the last four years,Code recorded in the last year
6,Antibiotics,e31e,AMOXIL 250mg injection,In the last four years,Code recorded in the last year
6,Antibiotics,e31f,AMOXIL 500mg injection,In the last four years,Code recorded in the last year
6,Antibiotics,e31g,AMOXIL 1g injection,In the last four years,Code recorded in the last year
6,Antibiotics,e31h,AUGMENTIN 375mg tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e31i,AUGMENTIN 375mg dispersible tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e31j,AUGMENTIN JUNIOR 125/62 in 5mL suspension,In the last four years,Code recorded in the last year
6,Antibiotics,e31k,AUGMENTIN 125/31 in 5mL paediatric suspension,In the last four years,Code recorded in the last year
6,Antibiotics,e31l,AUGMENTIN 600mg intravenous injection,In the last four years,Code recorded in the last year
6,Antibiotics,e31m,AUGMENTIN 1.2g intravenous injection,In the last four years,Code recorded in the last year
6,Antibiotics,e31n,ALMODAN 250mg capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e31o,ALMODAN 500mg capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e31p,ALMODAN 125mg/5mL syrup,In the last four years,Code recorded in the last year
6,Antibiotics,e31q,ALMODAN 250mg/5mL syrup,In the last four years,Code recorded in the last year
6,Antibiotics,e31r,ALMODAN 250mg injection,In the last four years,Code recorded in the last year
6,Antibiotics,e31s,ALMODAN 500mg injection,In the last four years,Code recorded in the last year
6,Antibiotics,e31t,CO-AMOXICLAV 375mg tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e31u,CO-AMOXICLAV 375mg dispersible tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e31v,CO-AMOXICLAV 125mg/5mL suspension,In the last four years,Code recorded in the last year
6,Antibiotics,e31w,CO-AMOXICLAV 125mg/mL suspension,In the last four years,Code recorded in the last year
6,Antibiotics,e31x,CO-AMOXICLAV 600mg injection,In the last four years,Code recorded in the last year
6,Antibiotics,e31y,CO-AMOXICLAV 1.2g injection,In the last four years,Code recorded in the last year
6,Antibiotics,e31z,CO-AMOXICLAV 250/62 in 5mL suspension,In the last four years,Code recorded in the last year
6,Antibiotics,e32,AMPICILLIN,In the last four years,Code recorded in the last year
6,Antibiotics,e321,AMPICILLIN 250mg capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e322,AMPICILLIN 500mg capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e323,AMPICILLIN 125mg/5mL mixture,In the last four years,Code recorded in the last year
6,Antibiotics,e324,AMPICILLIN 250mg/5mL oral suspension,In the last four years,Code recorded in the last year
6,Antibiotics,e325,AMFIPEN 250mg capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e326,AMFIPEN 500mg capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e327,AMFIPEN 125mg/5mL syrup,In the last four years,Code recorded in the last year
6,Antibiotics,e328,AMFIPEN 250mg/5mL syrup,In the last four years,Code recorded in the last year
6,Antibiotics,e329,AMFIPEN 250mg injection,In the last four years,Code recorded in the last year
6,Antibiotics,e32A,RIMACILLIN 250mg capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e32B,RIMACILLIN 500mg capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e32C,RIMACILLIN 125mg/5mL syrup,In the last four years,Code recorded in the last year
6,Antibiotics,e32D,RIMACILLIN 250mg/5mL syrup,In the last four years,Code recorded in the last year
6,Antibiotics,e32E,AMPICILLIN 250mg injection,In the last four years,Code recorded in the last year
6,Antibiotics,e32F,AMPICILLIN 500mg injection,In the last four years,Code recorded in the last year
6,Antibiotics,e32G,AMPICILLIN 125mg/1.25mL paediatric suspension,In the last four years,Code recorded in the last year
6,Antibiotics,e32H,AMPICILLIN 125mg/5mL sugar free suspension,In the last four years,Code recorded in the last year
6,Antibiotics,e32J,AMPICILLIN 250mg/5mL sugar free suspension,In the last four years,Code recorded in the last year
6,Antibiotics,e32K,AMPICILLIN 125mg/5mL oral suspension,In the last four years,Code recorded in the last year
6,Antibiotics,e32a,AMFIPEN 500mg injection,In the last four years,Code recorded in the last year
6,Antibiotics,e32b,AMPILAR 250mg capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e32c,AMPILAR 500mg capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e32d,AMPILAR 125mg/5mL syrup,In the last four years,Code recorded in the last year
6,Antibiotics,e32e,AMPILAR 250mg/5mL syrup,In the last four years,Code recorded in the last year
6,Antibiotics,e32f,BRITCIN 250mg capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e32g,BRITCIN 500mg capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e32h,PENBRITIN 250mg capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e32i,PENBRITIN 500mg capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e32j,PENBRITIN 125mg tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e32k,PENBRITIN 125mg/5mL syrup,In the last four years,Code recorded in the last year
6,Antibiotics,e32l,PENBRITIN 250mg/5mL syrup,In the last four years,Code recorded in the last year
6,Antibiotics,e32m,PENBRITIN 100mg/mL paediatric suspension,In the last four years,Code recorded in the last year
6,Antibiotics,e32n,PENBRITIN 250mg injection,In the last four years,Code recorded in the last year
6,Antibiotics,e32o,PENBRITIN 500mg injection,In the last four years,Code recorded in the last year
6,Antibiotics,e32p,VIDOPEN 250mg capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e32q,VIDOPEN 500mg capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e32r,VIDOPEN 125mg/5mL syrup,In the last four years,Code recorded in the last year
6,Antibiotics,e32s,VIDOPEN 250mg/5mL syrup,In the last four years,Code recorded in the last year
6,Antibiotics,e32t,VIDOPEN 250mg injection,In the last four years,Code recorded in the last year
6,Antibiotics,e32u,VIDOPEN 500mg injection,In the last four years,Code recorded in the last year
6,Antibiotics,e32v,AMPITRIN 250mg capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e32w,AMPITRIN 500mg capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e32x,AMPITRIN 125mg/5mL oral suspension,In the last four years,Code recorded in the last year
6,Antibiotics,e32y,AMPITRIN 250mg/5mL oral suspension,In the last four years,Code recorded in the last year
6,Antibiotics,e32z,AMPICILLIN 125mg tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e33,AMPICILLIN + PENICILLINASE-RESISTANT PENICILLIN,In the last four years,Code recorded in the last year
6,Antibiotics,e331,AMPICLOX injection,In the last four years,Code recorded in the last year
6,Antibiotics,e332,AMPICLOX neonatal suspension,In the last four years,Code recorded in the last year
6,Antibiotics,e333,AMPICLOX neonatal injection,In the last four years,Code recorded in the last year
6,Antibiotics,e334,FLU-AMP 250/250mg capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e335,MAGNAPEN 500mg capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e336,MAGNAPEN 250mg/5mL syrup,In the last four years,Code recorded in the last year
6,Antibiotics,e337,MAGNAPEN 500mg injection,In the last four years,Code recorded in the last year
6,Antibiotics,e338,MAGNAPEN 1g injection,In the last four years,Code recorded in the last year
6,Antibiotics,e339,CO-FLUAMPICIL 250mg/250mg capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e33a,CO-FLUAMPICIL 125/125mg syrup,In the last four years,Code recorded in the last year
6,Antibiotics,e33b,CO-FLUAMPICIL 250/250mg injection,In the last four years,Code recorded in the last year
6,Antibiotics,e33c,CO-FLUAMPICIL 500/500mg injection,In the last four years,Code recorded in the last year
6,Antibiotics,e33d,DICAPEN 750mg injection,In the last four years,Code recorded in the last year
6,Antibiotics,e33e,DICAPEN 1.5g injection,In the last four years,Code recorded in the last year
6,Antibiotics,e33f,DICAPEN 3g injection,In the last four years,Code recorded in the last year
6,Antibiotics,e33g,UNASYN 750mg/10mL injection,In the last four years,Code recorded in the last year
6,Antibiotics,e33h,UNASYN 375mg tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e33i,SULTAMICILLIN 375mg tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e33j,SULBACTAM AMPICILLIN 750mg injection,In the last four years,Code recorded in the last year
6,Antibiotics,e33k,AMPICLOX 500mg capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e33l,AMPICLOX 250mg/5mL syrup,In the last four years,Code recorded in the last year
6,Antibiotics,e33m,AMPICILLIN+CLOXACILLIN 250mg/250mg injection,In the last four years,Code recorded in the last year
6,Antibiotics,e33n,AMPICILLIN+CLOXACILLIN 60mg/30mg/0.6mL sugar free suspension,In the last four years,Code recorded in the last year
6,Antibiotics,e33p,AMPICILLIN+CLOXACILLIN 125mg/125mg/5mL syrup,In the last four years,Code recorded in the last year
6,Antibiotics,e33q,AMPICILLIN+CLOXACILLIN 250mg/250mg/5mL syrup,In the last four years,Code recorded in the last year
6,Antibiotics,e33r,AMPICILLIN+CLOXACILLIN 250mg/250mg capsules,In the last four years,Code recorded in the last year
6,Antibiotics,e33s,AMPICILLIN+CLOXACILLIN 50mg/25mg injection,In the last four years,Code recorded in the last year
6,Antibiotics,e34,BACAMPICILLIN HYDROCHLORIDE,In the last four years,Code recorded in the last year
6,Antibiotics,e341,AMBAXIN 400mg tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e34z,BACAMPICILLIN HCL 400mg tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e35,CICLACILLIN,In the last four years,Code recorded in the last year
6,Antibiotics,e351,CALTHOR 250mg tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e352,CALTHOR 500mg tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e353,CALTHOR 125mg/5mL suspension,In the last four years,Code recorded in the last year
6,Antibiotics,e354,CALTHOR 250mg/5mL suspension,In the last four years,Code recorded in the last year
6,Antibiotics,e35w,CICLACILLIN 250mg tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e35x,CICLACILLIN 500mg tablets,In the last four years,Code recorded in the last year
6,Antibiotics,e35y,CICLACILLIN 125mg/5mL suspension,In the last four years,Code recorded in the last year
