Comorbidity,Read V2 5B code,Read term
Painful condition meds,j285 ,APSIFEN 400mg tablets
Painful condition meds,j286 ,APSIFEN F 600mg effervescent tablets
Painful condition meds,j287 ,BRUFEN 200mg tablets
Painful condition meds,j288 ,BRUFEN 400mg tablets
Painful condition meds,j289 ,BRUFEN 600mg tablets
Painful condition meds,j28A ,BRUFEN RETARD 800mg m/r tablets
Painful condition meds,j28B ,IBUPROFEN 800mg m/r tablets
Painful condition meds,j28C ,CUPROFEN 200mg tablets
Painful condition meds,j28D ,ISISFEN 400mg tablets
Painful condition meds,j28E ,LIDIFEN 200mg tablets
Painful condition meds,j28F ,LIDIFEN 400mg tablets
Painful condition meds,j28G ,LIDIFEN 600mg tablets
Painful condition meds,j28H ,CODAFEN CONTINUS m/r tablets
Painful condition meds,j28I ,NUROFEN PLUS tablets
Painful condition meds,j28J ,JUNIFEN 100mg/5mL sugar free suspension
Painful condition meds,j28K ,IBUMED 400mg tablets
Painful condition meds,j28M ,RIMAFEN 200mg tablets
Painful condition meds,j28N ,RIMAFEN 400mg tablets
Painful condition meds,j28O ,IBUPROFEN+CODEINE PHOSPHATE 200mg/12.5mg tablets
Painful condition meds,j28P ,IBUPROFEN 600mg/sachet effervescent granules
Painful condition meds,j28R ,INOVEN 200mg caplets
Painful condition meds,j28S ,RELCOFEN 200mg tablets
Painful condition meds,j28T ,RELCOFEN 400mg tablets
Painful condition meds,j28U ,SOLPAFLEX tablets
Painful condition meds,j28V ,IBUPROFEN+CODEINE PHOSPHATE 200mg/12.8mg tablets
Painful condition meds,j28W ,ADVIL 200mg tablets
Painful condition meds,j28X ,ADVIL EXTRA STRENGTH 400mg tablets
Painful condition meds,j28Y ,IBUPROFEN 100mg/5mL sugar free syrup
Painful condition meds,j28Z ,ANADIN IBUPROFEN 200mg tablets
Painful condition meds,j28a ,BRUFEN 100mg/5mL syrup
Painful condition meds,j28b ,EBUFAC 200mg tablets
Painful condition meds,j28c ,EBUFAC 400mg tablets
Painful condition meds,j28d ,FENBID 300mg Spansules
Painful condition meds,j28e ,IBULAR 200mg tablets
Painful condition meds,j28f ,IBULAR 400mg tablets
Painful condition meds,j28g ,IBUMETIN 200mg tablets
Painful condition meds,j28h ,IBUMETIN 400mg tablets
Painful condition meds,j28i ,IBUMETIN 600mg tablets
Painful condition meds,j28j ,MOTRIN 200mg tablets
Painful condition meds,j28k ,MOTRIN 400mg tablets
Painful condition meds,j28l ,MOTRIN 600mg tablets
Painful condition meds,j28m ,PAXOFEN 200mg tablets
Painful condition meds,j28n ,PAXOFEN 400mg tablets
Painful condition meds,j28o ,PAXOFEN 600mg tablets
Painful condition meds,j28p ,MOTRIN 800mg tablets
Painful condition meds,j28q ,ARTHROFEN 200mg tablets
Painful condition meds,j28r ,ARTHROFEN 400mg tablets
Painful condition meds,j28s ,JUNIFEN 100mg/5mL suspension 150mL
Painful condition meds,j28t ,ARTHROFEN 600mg tablets
Painful condition meds,j28u ,IBUPROFEN 800mg tablets
Painful condition meds,j28v ,BRUFEN 600mg granules
Painful condition meds,j28w ,IBUPROFEN 100mg/5mL syrup
Painful condition meds,j28x ,IBUPROFEN 200mg m/r capsules
Painful condition meds,j28y ,IBUPROFEN 300mg m/r capsules
Painful condition meds,j28z ,IBUPROFEN+CODEINE PHOSPHATE 300mg/20mg m/r tablets
Painful condition meds,j29 ,INDOMETACIN
Painful condition meds,j291 ,INDOMETACIN 25mg capsules
Painful condition meds,j292 ,INDOMETACIN 50mg capsules
Painful condition meds,j293 ,INDOMETACIN 100mg suppositories
Painful condition meds,j294 ,ARTRACIN 25mg capsules
Painful condition meds,j295 ,ARTRACIN 50mg capsules
Painful condition meds,j296 ,IMBRILON 25mg capsules
Painful condition meds,j297 ,IMBRILON 50mg capsules
Painful condition meds,j298 ,IMBRILON 100mg suppositories
Painful condition meds,j299 ,INDOCID 25mg capsules
Painful condition meds,j29A ,INDOMETACIN 75mg m/r tablets
Painful condition meds,j29B ,FLEXIN CONTINUS 25mg m/r tablets
Painful condition meds,j29C ,FLEXIN CONTINUS LS 50mg m/r tablets
Painful condition meds,j29D ,INDOMETACIN 50mg m/r tablets
Painful condition meds,j29E ,INDOMETACIN 25mg m/r tablets
Painful condition meds,j29F ,RIMACID 25mg capsules
Painful condition meds,j29G ,ARTRACIN SR 75mg m/r capsules
Painful condition meds,j29H ,MAXIMET SR 75mg m/r capsules
Painful condition meds,j29J ,INDOTARD MR 75mg m/r capsules
Painful condition meds,j29K ,PARDELPRIN MR 75mg m/r capsules
Painful condition meds,j29a ,INDOCID 50mg capsules
Painful condition meds,j29b ,INDOCID 25mg/5mL suspension
Painful condition meds,j29c ,INDOCID 100mg suppositories
Painful condition meds,j29d ,INDOCID-R 75mg m/r capsules
Painful condition meds,j29e ,INDOFLEX 25mg capsules
Painful condition meds,j29f ,INDOLAR 25mg capsules
Painful condition meds,j29g ,INDOLAR 50mg capsules
Painful condition meds,j29h ,INDOLAR 100mg suppositories
Painful condition meds,j29i ,INDOLAR SR 75mg m/r capsules
Painful condition meds,j29j ,INDOMOD 25mg m/r capsules
Painful condition meds,j29k ,INDOMOD 75mg m/r capsules
Painful condition meds,j29l ,MOBILAN 25mg capsules
Painful condition meds,j29m ,MOBILAN 50mg capsules
Painful condition meds,j29n ,RHEUMACIN LA 75mg m/r capsules
Painful condition meds,j29o ,SLO-INDO 75mg m/r capsules
Painful condition meds,j29p ,FLEXIN CONTINUS 75mg m/r tablets
Painful condition meds,j29q ,INDOCID PDA 1mg injection
Painful condition meds,j29r ,INDOMAX 25mg capsules
Painful condition meds,j29s ,INDOMAX 75mg m/r capsules
Painful condition meds,j29t ,RHEUMACIN LA 75mg m/r capsules
Painful condition meds,j29u ,BERLIND 75 RETARD 75mg m/r capsules
Painful condition meds,j29v ,INDOMETACIN 1mg injection (pdr for recon)
Painful condition meds,j29w ,INDOMETHACIN 25mg/5mL suspension
Painful condition meds,j29y ,INDOMETACIN 75mg m/r capsules
Painful condition meds,j29z ,INDOMETACIN 25mg m/r capsules
Painful condition meds,j2c ,NAPROXEN
Painful condition meds,j2c1 ,NAPROXEN 250mg tablets
Painful condition meds,j2c2 ,NAPROXEN 500mg tablets
Painful condition meds,j2c3 ,LARAFLEX 250mg tablets
Painful condition meds,j2c4 ,LARAFLEX 500mg tablets
Painful condition meds,j2c5 ,NAPROSYN 250mg tablets
Painful condition meds,j2c6 ,NAPROSYN 500mg tablets
Painful condition meds,j2c7 ,NAPROSYN 125mg/5mL suspension
Painful condition meds,j2c8 ,NAPROSYN 500mg suppositories
Painful condition meds,j2c9 ,NAPROSYN granules 500mg/sachet
Painful condition meds,j2cA ,RHEUFLEX 250mg tablets
Painful condition meds,j2cB ,RHEUFLEX 500mg tablets
Painful condition meds,j2cC ,PRANOXEN CONTINUS 375mg m/r tablets
Painful condition meds,j2cD ,PRANOXEN CONTINUS 500mg m/r tablets
Painful condition meds,j2cE ,NAPROSYN S/R 500mg m/r tablets
Painful condition meds,j2cF ,TIMPRON 500mg tablets
Painful condition meds,j2cG ,RIMOXYN 500mg tablets
Painful condition meds,j2cH ,RIMOXYN 250mg tablets
Painful condition meds,j2cI ,TIMPRON 250mg tablets
Painful condition meds,j2cJ ,TIMPRON 250 EC e/c tablets
Painful condition meds,j2cK ,TIMPRON 500 EC e/c tablets
Painful condition meds,j2cL ,CONDROTEC tablets
Painful condition meds,j2cM ,ARTHROSIN 250mg e/c tablets
Painful condition meds,j2cN ,ARTHROSIN 500mg e/c tablets
Painful condition meds,j2cO ,FEMINAX ULTRA 250mg tablets
Painful condition meds,j2cP ,VIMOVO 500mg/20mg m/r tablets
Painful condition meds,j2cZ ,NAPROXEN+ESOMEPRAZOLE 500mg/20mg m/r tablets
Painful condition meds,j2ca ,VALROX 250mg tablets
Painful condition meds,j2cb ,VALROX 500mg tablets
Painful condition meds,j2cc ,ARTHROSIN 250mg tablets
Painful condition meds,j2cd ,ARTHROSIN 500mg tablets
Painful condition meds,j2ce ,ARTHROXEN 250mg tablets
Painful condition meds,j2cf ,ARTHROXEN 500mg tablets
Painful condition meds,j2cg ,NAPROSYN 375mg tablets
Painful condition meds,j2ch ,NAPROXEN 375mg tablets
Painful condition meds,j2ci ,NYCOPREN 250mg e/c tablets
Painful condition meds,j2cj ,NYCOPREN 500mg e/c tablets
Painful condition meds,j2ck ,NAPROXEN 250mg e/c tablets
Painful condition meds,j2cl ,NAPROXEN 500mg e/c tablets
Painful condition meds,j2cm ,PROSAID 250mg tablets
Painful condition meds,j2cn ,PROSAID 500mg tablets
Painful condition meds,j2co ,NAPROSYN EC 250mg e/c tablets
Painful condition meds,j2cp ,NAPROSYN EC 375mg e/c tablets
Painful condition meds,j2cq ,NAPROSYN EC 500mg e/c tablets
Painful condition meds,j2cr ,NAPRATEC 500mg/200micrograms tablets combination pack 2x56
Painful condition meds,j2cs ,NAPROXEN 375mg m/r tablets
Painful condition meds,j2ct ,NAPROXEN 500mg m/r tablets
Painful condition meds,j2cu ,NAPROXEN tablet+MISOPROSTOL tablet 500mg/200micrograms pack
Painful condition meds,j2cv ,NAPROXEN granules 500mg/sachet
Painful condition meds,j2cw ,NAPROXEN 375mg e/c tablets
Painful condition meds,j2cx ,NAPROXEN+MISOPROSTOL 500mg/200micrograms tablets
Painful condition meds,j2cy ,NAPROXEN 125mg/5mL suspension
Painful condition meds,j2cz ,NAPROXEN 500mg suppositories
Painful condition meds,j2n ,MELOXICAM
Painful condition meds,j2n1 ,MELOXICAM 15mg suppositories
Painful condition meds,j2n2 ,MELOXICAM 7.5mg tablets
Painful condition meds,j2n3 ,MELOXICAM 15mg tablets
Painful condition meds,j2n4 ,MOBIC 15mg suppositories
Painful condition meds,j2n5 ,MOBIC 7.5mg tablets
Painful condition meds,j2n6 ,MOBIC 15mg tablets
Painful condition meds,j2n7 ,MELOXICAM 7.5mg suppositories
Painful condition meds,j2n8 ,MOBIC 7.5mg suppositories
Painful condition meds,j2n9 ,MELOXICAM 7.5mg orodispersible tablets
Painful condition meds,j2nA ,MELOXICAM 15mg orodispersible tablets
Painful condition meds,j2o ,DICLOFENAC SODIUM 2
Painful condition meds,j2o1 ,DICLOFLEX SR 75mg m/r tablets
Painful condition meds,j2o2 ,FLAMATAK MR 75mg m/r tablets
Painful condition meds,j2o3 ,DIFENOR XL 100mg m/r tablets
Painful condition meds,j2o4 ,DICLOVOL 25mg e/c tablets
Painful condition meds,j2o5 ,DICLOVOL 50mg e/c tablets
Painful condition meds,j2o6 ,DICLOVOL SR 75mg m/r tablets
Painful condition meds,j2o7 ,DICLOVOL RETARD 100mg m/r tablets
Painful condition meds,j2o8 ,DEXOMON SR 75mg m/r tablets
Painful condition meds,j2o9 ,DEXOMON RETARD 100mg m/r tablets
Painful condition meds,j2oA ,ACOFLAM SR 75mg m/r tablets
Painful condition meds,j2oB ,ACOFLAM 50mg e/c tablets
Painful condition meds,j2oC ,ACOFLAM 25mg e/c tablets
Painful condition meds,j2oD ,ACOFLAM RETARD 100mg m/r tablets
Painful condition meds,j2oE ,FLAMATAK MR 100mg m/r tablets
Painful condition meds,j2oF ,RHEUMATAC RETARD 75mg m/r tablets
Painful condition meds,j2oG ,FLAMRASE SR 75mg m/r tablets
Painful condition meds,j2oH ,ECONAC 100mg suppositories
Painful condition meds,j2oJ ,CLOSTERIL 100 m/r tablets
Painful condition meds,j2oK ,ECONAC 75mg/3mL injection
Painful condition meds,j2oL ,RHUMALGAN XL 100mg m/r capsules
Painful condition meds,j2oM ,RHUMALGAN SR 75mg m/r capsules
Painful condition meds,j2oN ,DYLOJECT 75mg/2mL solution for injection
Painful condition meds,j2oO ,DICLOFENAC 75mg/2mL solution for injection
Painful condition meds,j2oP ,VOLTAROL ACTIVE 4% spray 15mL
Painful condition meds,j2oQ ,VOLTAROL ACTIVE 4% spray 30mL
Painful condition meds,j2oR ,ENSTAR XL 100mg m/r tablets
Painful condition meds,j2oS ,MASIDEMEN 75mg/200micrograms m/r tablets
Painful condition meds,j2oT ,DICLOFENAC SODIUM+MISOPROSTOL 75mg/200micrograms m/r tablets
Painful condition meds,j2oU ,MASIDEMEN 50mg/200micrograms m/r tablets
Painful condition meds,j2oV ,DICLOFENAC SODIUM+MISOPROSTOL 50mg/200micrograms m/r tablets
Painful condition meds,j2ol ,DEFANAC SR 75mg m/r tablets
Painful condition meds,j2om ,DEFANAC RETARD 100mg m/r tablets
Painful condition meds,j2oo ,DEFANAC 25mg e/c tablets
Painful condition meds,j2op ,DEFANAC 50mg e/c tablets
Painful condition meds,j2oq ,FENACTOL 25mg e/c tablets
Painful condition meds,j2or ,FENACTOL 50mg e/c tablets
Painful condition meds,j2os ,FENACTOL SR 75mg m/r tablets
Painful condition meds,j2ot ,FENACTOL RETARD 100mg m/r tablets
Painful condition meds,j2ou ,VALDIC 75 RETARD 75mg m/r tablets
Painful condition meds,j2ov ,VALDIC 100 RETARD 100mg m/r tablets
Painful condition meds,j2ow ,ECONAC SR 75mg m/r tablets
Painful condition meds,j2ox ,ECONAC XL 100mg m/r tablets
Painful condition meds,j2oy ,MOBIGEL 4% spray 25g
Painful condition meds,j2oz ,DICLOFENAC SODIUM 4% spray
Painful condition meds,j2p ,IBUPROFEN [MUSCULOSKELETAL USE 2]
Painful condition meds,j2p1 ,NUROFEN ADVANCE 200mg tablets
Painful condition meds,j2p2 ,NUROFEN FOR CHILDREN 100mg/5mL oral suspension
Painful condition meds,j2p3 ,NUROFEN LONG LASTING 300mg m/r capsules
Painful condition meds,j2p4 ,GALPROFEN 100mg/5mL oral suspension
Painful condition meds,j2p5 ,LIBROFEM 200mg tablets
Painful condition meds,j2p6 ,ORBIFEN FOR CHILDREN 100mg/5mL sugar free oral suspension
Painful condition meds,j2p7 ,MANDAFEN 600mg tablets
Painful condition meds,j2p8 ,FEVERFEN 100mg/5mL s/f oral suspension
Painful condition meds,j2p9 ,NUROFEN FOR CHILDREN SINGLES 100mg/5mL sachts s/f oral suspn
Painful condition meds,j2pA ,IBUPROFEN 100mg/5mL sachets s/f oral suspension
Painful condition meds,j2pB ,MANDAFEN 400mg tablets
Painful condition meds,j2pC ,ORBIFEN 100mg/5mL sugar free oral suspension
Painful condition meds,j2pD ,NUROFEN MOBILE 200mg tablets
Painful condition meds,j2pE ,FENPAED 100mg/5mL sugar free oral suspension
Painful condition meds,j2pF ,MANDAFEN FOR CHILDREN 100mg/5mL sugar free oral suspension
Painful condition meds,j2pG ,CUPROFEN FOR CHILDREN 100mg/5mL sugar free oral suspension
Painful condition meds,j2pH ,NUROFEN 200mg tablets
Painful condition meds,j2pI ,NUROFEN 200mg caplets
Painful condition meds,j2pJ ,IBUPROFEN 200mg capsules
Painful condition meds,j2pK ,NUROFEN 200mg liquid capsules
Painful condition meds,j2pL ,CALPROFEN 100mg/5mL sugar free oral suspension
Painful condition meds,j2pM ,CUPROFEN PLUS tablets
Painful condition meds,j2pN ,ORBIFEN 100mg/5mL sachets sugar free oral suspension
Painful condition meds,j2pO ,CARE IBUPROFEN FOR CHILDREN 100mg/5mL s/f oral suspension
Painful condition meds,j2pP ,NUROFEN FOR CHILDREN strawberry 100mg/5mL s/f oral susp
Painful condition meds,j2pQ ,GALPROFEN IBUPROFEN 200mg caplets
