Audit query,Category,Read V2 5B code,Read term,Extracted data,Use in analysis
10,Smoking cessation,du3n,NICOTINE 2mg sublingual tablets,In the last four years,Presence of code in the last two years
10,Smoking cessation,du3o,NICORETTE MICROTAB 2mg sublingual tablets,In the last four years,Presence of code in the last two years
10,Smoking cessation,du3p,NICOTINE 1mg mint lozenges,In the last four years,Presence of code in the last two years
10,Smoking cessation,du3q,NICOTINELL MINT 1mg lozenges,In the last four years,Presence of code in the last two years
10,Smoking cessation,du3r,NIQUITIN CQ 14mg/24hours clear patches,In the last four years,Presence of code in the last two years
10,Smoking cessation,du3s,NIQUITIN CQ 21mg/24hours clear patches,In the last four years,Presence of code in the last two years
10,Smoking cessation,du3t,NICOTINE 2mg fruit chewing gum,In the last four years,Presence of code in the last two years
10,Smoking cessation,du3u,NICOTINE 4mg fruit chewing gum,In the last four years,Presence of code in the last two years
10,Smoking cessation,du3v,NICOTINE 2mg citrus chewing gum,In the last four years,Presence of code in the last two years
10,Smoking cessation,du3w,NICORETTE CITRUS 2mg chewing gum,In the last four years,Presence of code in the last two years
10,Smoking cessation,du3x,NICOTINE 1mg lozenges,In the last four years,Presence of code in the last two years
10,Smoking cessation,du3y,NICOTINE 2mg lozenges,In the last four years,Presence of code in the last two years
10,Smoking cessation,du3z,NICOTINE 4mg lozenges,In the last four years,Presence of code in the last two years
10,Smoking cessation,du6,BUPROPION,In the last four years,Presence of code in the last two years
10,Smoking cessation,du61,ZYBAN 150mg m/r tablets,In the last four years,Presence of code in the last two years
10,Smoking cessation,du6z,BUPROPION HYDROCHLORIDE 150mg m/r tablets,In the last four years,Presence of code in the last two years
10,Smoking cessation,du7,NICOTINE 2,In the last four years,Presence of code in the last two years
10,Smoking cessation,du71,NIQUITIN CQ 4mg original lozenges,In the last four years,Presence of code in the last two years
10,Smoking cessation,du72,NIQUITIN CQ 2mg mint chewing gum,In the last four years,Presence of code in the last two years
10,Smoking cessation,du73,NIQUITIN CQ 4mg mint chewing gum,In the last four years,Presence of code in the last two years
10,Smoking cessation,du74,NICORETTE 15mg patches x2,In the last four years,Presence of code in the last two years
10,Smoking cessation,du75,NICOTINELL 2mg liquorice chewing gum,In the last four years,Presence of code in the last two years
10,Smoking cessation,du76,NICOTINELL 4mg liquorice chewing gum,In the last four years,Presence of code in the last two years
10,Smoking cessation,du77,NICOTINELL 2mg mint lozenges,In the last four years,Presence of code in the last two years
10,Smoking cessation,du78,NIQUITIN CQ 2mg mint lozenges,In the last four years,Presence of code in the last two years
10,Smoking cessation,du79,NIQUITIN CQ 4mg mint lozenges,In the last four years,Presence of code in the last two years
10,Smoking cessation,du7A,NICORETTE FRESHMINT 2mg chewing gum,In the last four years,Presence of code in the last two years
10,Smoking cessation,du7B,NICORETTE FRESHMINT 4mg chewing gum,In the last four years,Presence of code in the last two years
10,Smoking cessation,du7C,NICOTINELL CLASSIC 2mg chewing gum,In the last four years,Presence of code in the last two years
10,Smoking cessation,du7D,NICOTINELL CLASSIC 4mg chewing gum,In the last four years,Presence of code in the last two years
10,Smoking cessation,du7E,NICORETTE FRESHFRUIT 2mg chewing gum,In the last four years,Presence of code in the last two years
10,Smoking cessation,du7F,NICORETTE FRESHFRUIT 4mg chewing gum,In the last four years,Presence of code in the last two years
10,Smoking cessation,du7G,NICOPATCH 7mg/24hours patches,In the last four years,Presence of code in the last two years
10,Smoking cessation,du7H,NICOPATCH 14mg/24hours patches,In the last four years,Presence of code in the last two years
10,Smoking cessation,du7I,NICOPATCH 21mg/24hours patches,In the last four years,Presence of code in the last two years
10,Smoking cessation,du7J,NICOPASS 1.5mg fresh mint lozenges,In the last four years,Presence of code in the last two years
10,Smoking cessation,du7K,NICOPASS 1.5mg liquorice mint lozenges,In the last four years,Presence of code in the last two years
10,Smoking cessation,du7L,NIQUITIN PRE-QUIT 4mg mint lozenges,In the last four years,Presence of code in the last two years
10,Smoking cessation,du7M,NICORETTE INVISI 10mg patches,In the last four years,Presence of code in the last two years
10,Smoking cessation,du7N,NICORETTE INVISI 15mg patches,In the last four years,Presence of code in the last two years
10,Smoking cessation,du7O,NICORETTE INVISI 25mg patches,In the last four years,Presence of code in the last two years
10,Smoking cessation,du7P,NICORETTE ICY WHITE 2mg chewing gum,In the last four years,Presence of code in the last two years
10,Smoking cessation,du7Q,NICORETTE ICY WHITE 4mg chewing gum,In the last four years,Presence of code in the last two years
10,Smoking cessation,du7R,NIQUITIN MINIS MINT 1.5mg lozenges,In the last four years,Presence of code in the last two years
10,Smoking cessation,du7S,NIQUITIN MINIS MINT 4mg lozenges,In the last four years,Presence of code in the last two years
10,Smoking cessation,du7T,NICORETTE MICROTAB LEMON 2mg sublingual tablets,In the last four years,Presence of code in the last two years
10,Smoking cessation,du7U,NICORETTE COMBI 15mg patches and 2mg chewing gum,In the last four years,Presence of code in the last two years
10,Smoking cessation,du7V,NIQUITIN MINIS 1.5mg cherry lozenges,In the last four years,Presence of code in the last two years
10,Smoking cessation,du7W,NIQUITIN MINIS 4mg cherry lozenges,In the last four years,Presence of code in the last two years
10,Smoking cessation,du7X,NICORETTE FRESHMINT 2mg lozenges,In the last four years,Presence of code in the last two years
10,Smoking cessation,du7Y,NICORETTE QUICKMIST 1mg oromucosal spray,In the last four years,Presence of code in the last two years
10,Smoking cessation,du7Z,NICOTINELL ICEMINT 2mg chewing gum,In the last four years,Presence of code in the last two years
10,Smoking cessation,du7a,NICOTINELL ICEMINT 4mg chewing gum,In the last four years,Presence of code in the last two years
10,Smoking cessation,du7b,NICORETTE 15mg inhalator,In the last four years,Presence of code in the last two years
10,Smoking cessation,du7c,NICOTINE 15mg inhalator,In the last four years,Presence of code in the last two years
10,Smoking cessation,du7d,NICASSIST 7mg/24hours patches,In the last four years,Presence of code in the last two years
10,Smoking cessation,du7e,NICASSIST 14mg/24hours patches,In the last four years,Presence of code in the last two years
10,Smoking cessation,du7f,NICASSIST 21mg/24hours patches,In the last four years,Presence of code in the last two years
10,Smoking cessation,du7g,NICORETTE COOLS 2mg lozenges,In the last four years,Presence of code in the last two years
10,Smoking cessation,du7h,NICORETTE COOLS 4mg lozenges,In the last four years,Presence of code in the last two years
10,Smoking cessation,du7i,NIQUITIN PRE-QUIT 21mg/24 hours clear patches,In the last four years,Presence of code in the last two years
10,Smoking cessation,du7j,NICORETTE FRUITFUSION 2mg chewing gum,In the last four years,Presence of code in the last two years
10,Smoking cessation,du7k,NICORETTE FRUITFUSION 4mg chewing gum,In the last four years,Presence of code in the last two years
10,Smoking cessation,du7l,NICORETTE FRUITFUSION 6mg chewing gum,In the last four years,Presence of code in the last two years
10,Smoking cessation,du7n,NICOTINE 6mg fruit chewing gum,In the last four years,Presence of code in the last two years
10,Smoking cessation,du7o,NICOTINE 4mg icemint chewing gum,In the last four years,Presence of code in the last two years
10,Smoking cessation,du7p,NICOTINE 2mg icemint chewing gum,In the last four years,Presence of code in the last two years
10,Smoking cessation,du7q,NICOTINE 1mg oromucosal spray,In the last four years,Presence of code in the last two years
10,Smoking cessation,du7r,NICOTINE 1.5mg cherry lozenges,In the last four years,Presence of code in the last two years
10,Smoking cessation,du7s,NICOTINE 4mg cherry lozenges,In the last four years,Presence of code in the last two years
10,Smoking cessation,du7t,NICOTINE 15mg/16hours patches and 2mg chewing gum,In the last four years,Presence of code in the last two years
10,Smoking cessation,du7u,NICOTINE 1.5mg lozenges,In the last four years,Presence of code in the last two years
10,Smoking cessation,du7v,NICOTINE 25mg/16hours patches,In the last four years,Presence of code in the last two years
10,Smoking cessation,du7w,NICOTINE 1.5mg fresh mint lozenges,In the last four years,Presence of code in the last two years
10,Smoking cessation,du7x,NICOTINE 1.5mg liquorice mint lozenges,In the last four years,Presence of code in the last two years
10,Smoking cessation,du7y,NICOTINE 4mg liquorice chewing gum,In the last four years,Presence of code in the last two years
10,Smoking cessation,du7z,NICOTINE 2mg liquorice chewing gum,In the last four years,Presence of code in the last two years
10,Smoking cessation,du8,VARENICLINE,In the last four years,Presence of code in the last two years
10,Smoking cessation,du81,CHAMPIX 1mg tablets,In the last four years,Presence of code in the last two years
10,Smoking cessation,du82,CHAMPIX 500microgram tablets,In the last four years,Presence of code in the last two years
10,Smoking cessation,du83,CHAMPIX TREATMENT INITIATION pack,In the last four years,Presence of code in the last two years
10,Smoking cessation,du8x,VARENICLINE 500micrograms+1mg tablets,In the last four years,Presence of code in the last two years
10,Smoking cessation,du8y,VARENICLINE 500microgram tablets,In the last four years,Presence of code in the last two years
10,Smoking cessation,du8z,VARENICLINE 1mg tablets,In the last four years,Presence of code in the last two years
10,Smoking cessation,duB,NICOTINE 3,In the last four years,Presence of code in the last two years
10,Smoking cessation,duB1,NIQUITIN STRIPS 2.5mg mint oral film,In the last four years,Presence of code in the last two years
10,Smoking cessation,duB2,NIQUITIN MINIS 1.5mg orange lozenges,In the last four years,Presence of code in the last two years
10,Smoking cessation,duB3,NICOTINELL SUPPORT ICEMINT 2mg chewing gum,In the last four years,Presence of code in the last two years
10,Smoking cessation,duB4,NICOTINELL SUPPORT ICEMINT 4mg chewing gum,In the last four years,Presence of code in the last two years
10,Smoking cessation,duBz,NICOTINE 2.5mg oral film,In the last four years,Presence of code in the last two years
10,Smoking cessation,745H,Smoking cessation therapy,In the last four years,Presence of code in the last two years
10,Smoking cessation,745H0,Nicotine replacement therapy using nicotine patches,In the last four years,Presence of code in the last two years
10,Smoking cessation,745H1,Nicotine replacement therapy using nicotine gum,In the last four years,Presence of code in the last two years
10,Smoking cessation,745H2,Nicotine replacement therapy using nicotine inhalator,In the last four years,Presence of code in the last two years
10,Smoking cessation,745H3,Nicotine replacement therapy using nicotine lozenges,In the last four years,Presence of code in the last two years
10,Smoking cessation,745H4,Smoking cessation drug therapy,In the last four years,Presence of code in the last two years
10,Smoking cessation,745Hy,Other specified smoking cessation therapy,In the last four years,Presence of code in the last two years
10,Smoking cessation,745Hz,Smoking cessation therapy NOS,In the last four years,Presence of code in the last two years
10,Smoking cessation,8B2B,Nicotine replacement therapy,In the last four years,Presence of code in the last two years
10,Smoking cessation,8B2B0,Issue of nicotine replacement therapy voucher,In the last four years,Presence of code in the last two years
10,Smoking cessation,8B3Y,Over the counter nicotine replacement therapy,In the last four years,Presence of code in the last two years
10,Smoking cessation,8B3f,Nicotine replacement therapy provided free,In the last four years,Presence of code in the last two years
10,Smoking cessation,8IEM,Smoking cessation drug therapy declined,In the last four years,Presence of code in the last two years
10,Smoking cessation,8IAj,Smoking cessation advice declined,In the last four years,Presence of code in the last two years
10,Smoking cessation,8IEK,Smoking cessation programme declined,In the last four years,Presence of code in the last two years
10,Smoking cessation,8IEo,Referral to smoking cessation service declined,In the last four years,Presence of code in the last two years
10,Smoking cessation,9Ndg,Declined consent for follow-up by smoking cessation team,In the last four years,Presence of code in the last two years
