Audit query,Category,Read V2 5B code,Read term,Extracted data,Use in analysis
5,Smoking status,9ko,Current smoker annual review - enhanced services admin,In the last four years,Code recorded in the last year
5,Smoking status,9km,ex-smoker annual review - enhanced services administration,In the last four years,Code recorded in the last year
5,Smoking status,6791,health ed. - smoking,In the last four years,Code recorded in the last year
5,Smoking status,67H1,lifestyle advice regarding smoking,In the last four years,Code recorded in the last year
5,Smoking status,63C5,Maternal tobacco abuse,In the last four years,Code recorded in the last year
5,Smoking status,388B,Pack years,In the last four years,Code recorded in the last year
5,Smoking status,67A3,pregnancy smoking advice,In the last four years,Code recorded in the last year
5,Smoking status,9NS02,Referral for smoking cessation service offered,In the last four years,Code recorded in the last year
5,Smoking status,8HkQ,referral to nhs stop smoking service,In the last four years,Code recorded in the last year
5,Smoking status,8HTK,referral to stop-smoking clinic,In the last four years,Code recorded in the last year
5,Smoking status,9OO2,refuses stop smoking monitor,In the last four years,Code recorded in the last year
5,Smoking status,13cA,smokes drugs,In the last four years,Code recorded in the last year
5,Smoking status,8IAj,Smoking cessation advice declined,In the last four years,Code recorded in the last year
5,Smoking status,8CAg,Smoking cessation advice provided by community pharmacist,In the last four years,Code recorded in the last year
5,Smoking status,745H,Smoking cessation therapy,In the last four years,Code recorded in the last year
5,Smoking status,745Hz,Smoking cessation therapy NOS,In the last four years,Code recorded in the last year
5,Smoking status,13p4,Smoking free weeks,In the last four years,Code recorded in the last year
5,Smoking status,9OO7,stop smoking monitor verb.inv.,In the last four years,Code recorded in the last year
5,Smoking status,E251,Tobacco dependence,In the last four years,Code recorded in the last year
5,Smoking status,E2513,Tobacco dependence in remission,In the last four years,Code recorded in the last year
5,Smoking status,E251z,Tobacco dependence NOS,In the last four years,Code recorded in the last year
5,Smoking status,E2511,"Tobacco dependence, continuous",In the last four years,Code recorded in the last year
5,Smoking status,E2510,"Tobacco dependence, unspecified",In the last four years,Code recorded in the last year
5,Smoking status,SMC,Toxic effect of tobacco and nicotine,In the last four years,Code recorded in the last year
5,Smoking status,9ko,current smoker annual review,In the last four years,Code recorded in the last year
5,Smoking status,9km,ex-smoker annual review,In the last four years,Code recorded in the last year
5,Smoking status,1372,occasional smoker,In the last four years,Code recorded in the last year
