Category,Medication,Prodcode,Gemscript code,Product Name,Drug Substance,BNF Code
Pain medication,Amitriptyline,41729,48502020,Amitriptyline 25mg Tablet (Celltech Pharma Europe Ltd),Amitriptyline hydrochloride,04030100/04070300
Pain medication,Amitriptyline,24141,48507020,Amitriptyline 10mg tablets (Actavis UK Ltd),Amitriptyline hydrochloride,04030100/04070300/04070402
Pain medication,Amitriptyline,24145,48508020,Amitriptyline 25mg tablets (Actavis UK Ltd),Amitriptyline hydrochloride,04030100/04070300/04070402
Pain medication,Amitriptyline,34634,48509020,Amitriptyline 50mg tablets (Actavis UK Ltd),Amitriptyline hydrochloride,04030100/04070300/04070402
Pain medication,Amitriptyline,42394,48513020,Amitriptyline 25mg Tablet (Crosspharma Ltd),Amitriptyline hydrochloride,04030100/04070300
Pain medication,Amitriptyline,34731,48516020,Amitriptyline 10mg tablets (Kent Pharmaceuticals Ltd),Amitriptyline hydrochloride,04030100/04070300/04070402
Pain medication,Amitriptyline,24134,48517020,Amitriptyline 25mg tablets (Kent Pharmaceuticals Ltd),Amitriptyline hydrochloride,04030100/04070300/04070402
Pain medication,Amitriptyline,34182,48518020,Amitriptyline 50mg tablets (Kent Pharmaceuticals Ltd),Amitriptyline hydrochloride,04030100/04070300/04070402
Pain medication,Amitriptyline,45233,48522020,Amitriptyline 10mg tablets (IVAX Pharmaceuticals UK Ltd),Amitriptyline hydrochloride,04030100
Pain medication,Amitriptyline,34503,48523020,Amitriptyline 25mg tablets (IVAX Pharmaceuticals UK Ltd),Amitriptyline hydrochloride,04030100
Pain medication,Amitriptyline,46970,48524020,Amitriptyline 50mg tablets (IVAX Pharmaceuticals UK Ltd),Amitriptyline hydrochloride,04030100
Pain medication,Amitriptyline,34474,48528020,Amitriptyline 25mg Tablet (Regent Laboratories Ltd),Amitriptyline hydrochloride,04030100/04070300
Pain medication,Amitriptyline,45242,48533020,Amitriptyline 10mg Tablet (Sussex Pharmaceutical Ltd),Amitriptyline hydrochloride,04030100/04070300
Pain medication,Amitriptyline,32439,48534020,Amitriptyline 25mg Tablet (Sussex Pharmaceutical Ltd),Amitriptyline hydrochloride,04030100/04070300
Pain medication,Amitriptyline,14534,50198020,Limbitrol 5 Capsule (Roche Products Ltd),Amitriptyline Hydrochloride/Chlordiazepoxide,04030100
Pain medication,Amitriptyline,1208,52046020,Triptafen tablets (AMCo),Amitriptyline hydrochloride/Perphenazine,04030100
Pain medication,Amitriptyline,1453,52047020,Triptafen m 2mg+10mg Tablet (Goldshield Pharmaceuticals Ltd),Amitriptyline hydrochloride/Perphenazine,04020100/04030100
Pain medication,Amitriptyline,64000,52055021,Amitriptyline 10mg/5ml oral solution sugar free,Amitriptyline hydrochloride,04030100/04070300/04070402
Pain medication,Amitriptyline,65879,52215021,Amitriptyline 10mg tablets (Sigma Pharmaceuticals Plc),Amitriptyline hydrochloride,04030100/04070300/04070402
Pain medication,Amitriptyline,69712,52216021,Amitriptyline 50mg tablets (Sigma Pharmaceuticals Plc),Amitriptyline hydrochloride,04030100/04070300/04070402
Pain medication,Amitriptyline,66578,53397021,Amitriptyline 10mg tablets (Mawdsley-Brooks & Company Ltd),Amitriptyline hydrochloride,04030100/04070300/04070402
Pain medication,Amitriptyline,66579,53398021,Amitriptyline 25mg tablets (Mawdsley-Brooks & Company Ltd),Amitriptyline hydrochloride,04030100/04070300/04070402
Pain medication,Amitriptyline,11963,54655020,Limbitrol 10 Capsule (Roche Products Ltd),Amitriptyline Hydrochloride/Chlordiazepoxide,04030100
Pain medication,Amitriptyline,26213,55362020,Domical 10mg Tablet (Berk Pharmaceuticals Ltd),Amitriptyline hydrochloride,04030100/04070300
Pain medication,Amitriptyline,20026,55363020,Domical 25mg Tablet (Berk Pharmaceuticals Ltd),Amitriptyline hydrochloride,04030100/04070300
Pain medication,Amitriptyline,27008,55364020,Domical 50mg Tablet (Berk Pharmaceuticals Ltd),Amitriptyline hydrochloride,04030100/04070300
Pain medication,Amitriptyline,2486,55409020,Lentizol 25mg modified-release capsules (Pfizer Ltd),Amitriptyline hydrochloride,00000000
Pain medication,Amitriptyline,2985,55410020,Lentizol 50mg modified-release capsules (Pfizer Ltd),Amitriptyline hydrochloride,00000000
Pain medication,Amitriptyline,8726,55440020,Tryptizol 10mg Tablet (Merck Sharp & Dohme Ltd),Amitriptyline hydrochloride,04030100/04070300
Pain medication,Amitriptyline,7751,55441020,Tryptizol 25mg Tablet (Merck Sharp & Dohme Ltd),Amitriptyline hydrochloride,04030100/04070300
Pain medication,Amitriptyline,8332,55442020,Tryptizol 50mg Tablet (Merck Sharp & Dohme Ltd),Amitriptyline hydrochloride,04030100/04070300
Pain medication,Amitriptyline,182,55445020,Tryptizol 10mg/ml Injection (Merck Sharp & Dohme Ltd),Amitriptyline Hydrochloride,04030100
Pain medication,Amitriptyline,8831,55446020,Tryptizol mr 75mg Modified-release capsule (Merck Sharp & Dohme Ltd),Amitriptyline Hydrochloride,04030100/04070300
Pain medication,Amitriptyline,8878,55450020,Tryptizol 10mg/5ml sugar free Oral solution (Merck Sharp and Dohme Ltd),Amitriptyline Hydrochloride,04030100/04070300
Pain medication,Amitriptyline,34224,55686020,Amitriptyline 25mg/5ml oral solution sugar free (Rosemont Pharmaceuticals Ltd),Amitriptyline hydrochloride,04030100/04070300/04070402
Pain medication,Amitriptyline,34251,55687020,Amitriptyline 50mg/5ml oral solution sugar free (Rosemont Pharmaceuticals Ltd),Amitriptyline hydrochloride,04030100/04070300/04070402
Pain medication,Amitriptyline,22070,55688020,Amitriptyline 10mg/5ml Oral solution (Rosemont Pharmaceuticals Ltd),Amitriptyline Hydrochloride,04030100/04070300
Pain medication,Amitriptyline,83,58949020,Amitriptyline 10mg tablets,Amitriptyline hydrochloride,04030100/04070300/04070402
Pain medication,Amitriptyline,49,58950020,Amitriptyline 25mg tablets,Amitriptyline hydrochloride,04030100/04070300/04070402
Pain medication,Amitriptyline,1888,58951020,Amitriptyline 50mg tablets,Amitriptyline hydrochloride,04030100/04070300/04070402
Pain medication,Amitriptyline,24680,59132020,Elavil 10mg Tablet (DDSA Pharmaceuticals Ltd),Amitriptyline hydrochloride,04030100/04070300
Pain medication,Amitriptyline,70300,60086021,Amitriptyline 10mg/5ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd),Amitriptyline hydrochloride,04030100/04070300/04070402
Pain medication,Amitriptyline,487,60222020,Amitriptyline 25mg modified-release capsules,Amitriptyline hydrochloride,00000000
Pain medication,Amitriptyline,4682,60223020,Amitriptyline 50mg modified-release capsules,Amitriptyline hydrochloride,00000000
Pain medication,Amitriptyline,2525,60224020,Amitriptyline 75mg modified-release capsules,Amitriptyline Hydrochloride,04030100/04070300
Pain medication,Amitriptyline,19779,60229020,Amitriptyline 10mg/ml injection,Amitriptyline Hydrochloride,04030100
Pain medication,Amitriptyline,16323,65592020,Perphenazine 2mg with Amitriptyline 10mg tablet,Amitriptyline Hydrochloride/Perphenazine,04020100/04030100
Pain medication,Amitriptyline,6894,65593020,Perphenazine 2mg with Amitriptyline 25mg tablet,Amitriptyline Hydrochloride/Perphenazine,04020100/04030100
Pain medication,Amitriptyline,65439,68492020,Amitriptyline 25mg tablets (Sandoz Ltd),Amitriptyline hydrochloride,04030100
Pain medication,Amitriptyline,21081,68724020,Amitriptyline 12.5mg / Chlordiazepoxide 5mg capsules,Amitriptyline Hydrochloride/Chlordiazepoxide,04030100
Pain medication,Amitriptyline,18342,68725020,Amitriptyline 25mg / Chlordiazepoxide 10mg capsules,Amitriptyline Hydrochloride/Chlordiazepoxide,04030100
Pain medication,Amitriptyline,3490,68728020,Amitriptyline 10mg / Perphenazine 2mg tablets,Amitriptyline hydrochloride/Perphenazine,00000000
Pain medication,Amitriptyline,595,68729020,Amitriptyline 25mg / Perphenazine 2mg tablets,Amitriptyline hydrochloride/Perphenazine,04030100
Pain medication,Amitriptyline,55491,70945020,Amitriptyline 10mg tablets (Almus Pharmaceuticals Ltd),Amitriptyline hydrochloride,04030100/04070300/04070402
Pain medication,Amitriptyline,42078,70948020,Amitriptyline 25mg tablets (Almus Pharmaceuticals Ltd),Amitriptyline hydrochloride,04030100/04070300/04070402
Pain medication,Amitriptyline,64330,70951020,Amitriptyline 50mg tablets (Almus Pharmaceuticals Ltd),Amitriptyline hydrochloride,04030100/04070300/04070402
Pain medication,Amitriptyline,4690,75329020,Amitriptyline 50mg/5ml oral solution sugar free,Amitriptyline hydrochloride,04030100/04070300/04070402
Pain medication,Amitriptyline,6312,75330020,Amitriptyline 25mg/5ml oral solution sugar free,Amitriptyline hydrochloride,04030100/04070300/04070402
Pain medication,Amitriptyline,3777,75331020,Amitriptyline 10mg/5ml sugar free oral solution,Amitriptyline Hydrochloride,04030100/04070300
Pain medication,Amitriptyline,60410,77894020,Amitriptyline 25mg/5ml oral solution sugar free (Wockhardt UK Ltd),Amitriptyline hydrochloride,04030100/04070300/04070402
Pain medication,Amitriptyline,59820,77899020,Amitriptyline 50mg/5ml oral solution sugar free (Wockhardt UK Ltd),Amitriptyline hydrochloride,04030100/04070300/04070402
Pain medication,Amitriptyline,48065,92481020,Amitriptyline oral solution,Amitriptyline Hydrochloride,04030100/04070300
Pain medication,Amitriptyline,38827,95533020,Triptafen-M tablets (Mercury Pharma Group Ltd),Amitriptyline hydrochloride/Perphenazine,00000000
Pain medication,Diclofenac,29523,!1857101,DICLOFENAC SODIUM (3ML),,00000000
Pain medication,Diclofenac,20653,!1857105,DICLOFENAC SODIUM S/R,,00000000
Pain medication,Diclofenac,27901,!7713301,VOLTAROL RETARD,,00000000
Pain medication,Diclofenac,26212,!8504179,FLAMRASE SR,,00000000
Pain medication,Diclofenac,47501,00059021,Rhumalgan SR 75mg capsules (Almus Pharmaceuticals Ltd),Diclofenac sodium,10010100
Pain medication,Diclofenac,56078,00061021,Rhumalgan XL 100mg capsules (Almus Pharmaceuticals Ltd),Diclofenac sodium,10010100
Pain medication,Diclofenac,47820,00164021,Voltarol Pain-eze Extra Strength 25mg tablets (Novartis Consumer Health UK Ltd),Diclofenac potassium,10010100
Pain medication,Diclofenac,48218,00629021,Dicloflex sr 100mg Tablet (Teva UK Ltd),Diclofenac sodium,10010100/10010450
Pain medication,Diclofenac,47350,00836021,Voltarol Active 4% spray (Novartis Consumer Health UK Ltd),Diclofenac sodium,00000000
Pain medication,Diclofenac,7458,02704007,DICLOFENAC SODIUM (3ML) 25 MG/ML INJ,,00000000
Pain medication,Diclofenac,349,03184007,VOLTAROL 75 MG INJ,,00000000
Pain medication,Diclofenac,7774,03449007,DICLOFENAC 75 MG INJ,,00000000
Pain medication,Diclofenac,21620,06993007,SLOFENAC 75 MG TAB,,00000000
Pain medication,Diclofenac,24201,06994007,SLOFENAC 100 MG TAB,,00000000
Pain medication,Diclofenac,71064,08045020,Diclofenac sodium 75mg modified-release capsules (Waymade Healthcare Plc),Diclofenac sodium,10010100
Pain medication,Diclofenac,71117,08046020,Diclomax SR 75mg capsules (DE Pharmaceuticals),Diclofenac sodium,10010100
Pain medication,Diclofenac,52389,08049020,Voltarol 50mg suppositories (Sigma Pharmaceuticals Plc),Diclofenac sodium,10010100
Pain medication,Diclofenac,69582,08061020,Voltarol 100mg suppositories (Lexon (UK) Ltd),Diclofenac sodium,10010100
Pain medication,Diclofenac,54021,08069020,Voltarol Retard 100mg tablets (Sigma Pharmaceuticals Plc),Diclofenac sodium,10010100
Pain medication,Diclofenac,57006,08075020,Diclofenac sodium 25mg gastro-resistant tablets (Phoenix Healthcare Distribution Ltd),Diclofenac sodium,10010100
Pain medication,Diclofenac,54518,08079020,Diclofenac sodium 50mg gastro-resistant tablets (Phoenix Healthcare Distribution Ltd),Diclofenac sodium,10010100
Pain medication,Diclofenac,71100,08080020,Diclofenac sodium 50mg gastro-resistant tablets (Sigma Pharmaceuticals Plc),Diclofenac sodium,10010100
Pain medication,Diclofenac,57045,08084020,Voltarol 50mg dispersible tablets (Waymade Healthcare Plc),Diclofenac sodium,10010100
Pain medication,Diclofenac,50058,08086020,Voltarol 50mg dispersible tablets (DE Pharmaceuticals),Diclofenac sodium,10010100
Pain medication,Diclofenac,59595,08087020,Diclofenac 50mg dispersible tablets sugar free (Sigma Pharmaceuticals Plc),Diclofenac sodium,10010100
Pain medication,Diclofenac,60786,08088020,Voltarol 50mg dispersible tablets (Sigma Pharmaceuticals Plc),Diclofenac sodium,10010100
Pain medication,Diclofenac,49059,08090020,Voltarol 50mg dispersible tablets (Lexon (UK) Ltd),Diclofenac sodium,10010100
Pain medication,Diclofenac,54075,08091020,Voltarol 50mg dispersible tablets (Stephar (U.K.) Ltd),Diclofenac sodium,10010100
Pain medication,Diclofenac,53384,08092020,Voltarol 50mg dispersible tablets (Mawdsley-Brooks & Company Ltd),Diclofenac sodium,10010100
Pain medication,Diclofenac,57162,08093020,Diclofenac 50mg dispersible tablets sugar free (DE Pharmaceuticals),Diclofenac sodium,10010100
Pain medication,Diclofenac,71088,08098020,Arthrotec 50 gastro-resistant tablets (Mawdsley-Brooks & Company Ltd),Diclofenac sodium/Misoprostol,10010100
Pain medication,Diclofenac,71362,08100020,Diclomax Retard 100mg capsules (Waymade Healthcare Plc),Diclofenac sodium,10010100
Pain medication,Diclofenac,50269,08107020,Arthrotec 75 gastro-resistant tablets (Mawdsley-Brooks & Company Ltd),Diclofenac sodium/Misoprostol,10010100
Pain medication,Diclofenac,65877,08113020,Diclofenac sodium 75mg modified-release tablets (Mawdsley-Brooks & Company Ltd),Diclofenac sodium,10010100
Pain medication,Diclofenac,58572,08370020,Diclofenac potassium 25mg tablets (A A H Pharmaceuticals Ltd),Diclofenac potassium,10010100
Pain medication,Diclofenac,58071,08371020,Voltarol Rapid 50mg tablets (Waymade Healthcare Plc),Diclofenac potassium,10010100
Pain medication,Diclofenac,69477,08373020,Voltarol Rapid 50mg tablets (DE Pharmaceuticals),Diclofenac potassium,10010100
Pain medication,Diclofenac,70468,08374020,Voltarol Rapid 50mg tablets (Sigma Pharmaceuticals Plc),Diclofenac potassium,10010100
Pain medication,Diclofenac,53345,08375020,Voltarol Rapid 50mg tablets (Lexon (UK) Ltd),Diclofenac potassium,10010100
Pain medication,Diclofenac,70145,08376020,Voltarol Rapid 50mg tablets (Stephar (U.K.) Ltd),Diclofenac potassium,10010100
Pain medication,Diclofenac,51099,08377020,Voltarol Rapid 50mg tablets (Mawdsley-Brooks & Company Ltd),Diclofenac potassium,10010100
Pain medication,Diclofenac,52338,08378020,Diclofenac potassium 50mg tablets (Focus Pharmaceuticals Ltd),Diclofenac potassium,10010100
Pain medication,Diclofenac,50602,08379020,Diclofenac potassium 50mg tablets (Alliance Healthcare (Distribution) Ltd),Diclofenac potassium,10010100
Pain medication,Diclofenac,51293,08380020,Diclofenac potassium 50mg tablets (Phoenix Healthcare Distribution Ltd),Diclofenac potassium,10010100
Pain medication,Diclofenac,57545,08537020,Voltarol 1.16% Emulgel (Dowelhurst Ltd),Diclofenac diethylammonium,10010100/10030250
Pain medication,Diclofenac,51237,08539020,Voltarol 1.16% Emulgel (Waymade Healthcare Plc),Diclofenac diethylammonium,10010100/10030250
Pain medication,Diclofenac,49788,08541020,Voltarol 1.16% Emulgel (DE Pharmaceuticals),Diclofenac diethylammonium,10010100/10030250
Pain medication,Diclofenac,52229,08542020,Voltarol 1.16% Emulgel (Sigma Pharmaceuticals Plc),Diclofenac diethylammonium,10010100/10030250
Pain medication,Diclofenac,71364,08543020,Voltarol 1.16% Emulgel P (Sigma Pharmaceuticals Plc),Diclofenac diethylammonium,10010100/10030250
Pain medication,Diclofenac,49862,08544020,Voltarol 1.16% Emulgel (Lexon (UK) Ltd),Diclofenac diethylammonium,10010100/10030250
Pain medication,Diclofenac,52956,08545020,Voltarol 1.16% Emulgel (Stephar (U.K.) Ltd),Diclofenac diethylammonium,10010100/10030250
Pain medication,Diclofenac,62851,08546020,Voltarol 1.16% Emulgel (Mawdsley-Brooks & Company Ltd),Diclofenac diethylammonium,10010100/10030250
Pain medication,Diclofenac,49132,08547020,Voltarol 1.16% Emulgel (Necessity Supplies Ltd),Diclofenac diethylammonium,10010100/10030250
Pain medication,Diclofenac,56898,15708021,Rhumalgan SR 75mg capsules (Actavis UK Ltd),Diclofenac sodium,10010100
Pain medication,Diclofenac,59289,15710021,Diclofenac sodium 100mg modified-release tablets (AM Distributions (Yorkshire) Ltd),Diclofenac sodium,10010100
Pain medication,Diclofenac,56282,16362021,Diclofenac 2.32% gel,Diclofenac diethylammonium,10010100/10030250
Pain medication,Diclofenac,56558,16363021,Voltarol 12 Hour Emulgel P 2.32% gel (GlaxoSmithKline Consumer Healthcare),Diclofenac diethylammonium,10010100/10030250
Pain medication,Diclofenac,64595,16443021,Misofen 50mg/200microgram gastro-resistant tablets (Morningside Healthcare Ltd),Diclofenac sodium/Misoprostol,10010100
Pain medication,Diclofenac,58842,16444021,Misofen 75mg/200microgram gastro-resistant tablets (Morningside Healthcare Ltd),Diclofenac sodium/Misoprostol,10010100
Pain medication,Diclofenac,58415,16784021,Diclofenac sodium 50mg gastro-resistant / Misoprostol 200microgram tablets (A A H Pharmaceuticals Ltd),Diclofenac sodium/Misoprostol,10010100
Pain medication,Diclofenac,60368,19739020,Diclofenac 10mg/5ml oral solution,Diclofenac sodium,10010100
Pain medication,Diclofenac,61762,19741020,Diclofenac 10mg/5ml oral suspension,Diclofenac sodium,10010100
Pain medication,Diclofenac,59880,20255021,Diclofenac sodium 75mg modified-release capsules (Waymade Healthcare Plc),Diclofenac sodium,10010100
Pain medication,Diclofenac,61596,21425021,Diclofenac sodium 75mg modified-release capsules (Phoenix Healthcare Distribution Ltd),Diclofenac sodium,10010100
Pain medication,Diclofenac,67220,21427021,Diclofenac sodium 100mg modified-release tablets (Phoenix Healthcare Distribution Ltd),Diclofenac sodium,10010100
Pain medication,Diclofenac,64303,21428021,Diclofenac sodium 25mg gastro-resistant tablets (DE Pharmaceuticals),Diclofenac sodium,10010100
Pain medication,Diclofenac,60443,21834021,Diclofenac sodium 75mg modified-release capsules (DE Pharmaceuticals),Diclofenac sodium,10010100
Pain medication,Diclofenac,66123,23762021,Diclofenac sodium 100mg modified-release tablets (Ethigen Ltd),Diclofenac sodium,10010100
Pain medication,Diclofenac,60666,25523021,Diclofenac sodium 75mg modified-release capsules (Actavis UK Ltd),Diclofenac sodium,10010100
Pain medication,Diclofenac,68354,25525021,Diclofenac sodium 100mg modified-release capsules (Actavis UK Ltd),Diclofenac sodium,10010100
Pain medication,Diclofenac,66577,26767021,Diclofenac sodium 75mg modified-release capsules (Sigma Pharmaceuticals Plc),Diclofenac sodium,10010100
Pain medication,Diclofenac,69584,26768021,Diclofenac sodium 100mg modified-release tablets (Sigma Pharmaceuticals Plc),Diclofenac sodium,10010100
Pain medication,Diclofenac,54906,29442020,Diclofenac 50mg/5ml oral suspension,Diclofenac sodium,10010100
Pain medication,Diclofenac,51808,29485020,Diclofenac 12.5mg/5ml oral solution,Diclofenac sodium,10010100
Pain medication,Diclofenac,68849,29487020,Diclofenac 12.5mg/5ml oral suspension,Diclofenac sodium,10010100
Pain medication,Diclofenac,64759,29493020,Diclofenac 50mg/5ml oral solution,Diclofenac sodium,10010100
Pain medication,Diclofenac,51343,39330020,Voltarol Rapid 25mg tablets (DE Pharmaceuticals),Diclofenac potassium,10010100
Pain medication,Diclofenac,56071,39403020,Voltarol Active 4% spray (Novartis Consumer Health UK Ltd),Diclofenac sodium,10030100
Pain medication,Diclofenac,55913,39886020,Voltarol 50mg suppositories (Lexon (UK) Ltd),Diclofenac sodium,10010100
Pain medication,Diclofenac,50317,39887020,Voltarol 75mg SR tablets (Lexon (UK) Ltd),Diclofenac sodium,10010100
Pain medication,Diclofenac,50785,40590020,Diclofenac sodium 50mg gastro-resistant tablets (Genesis Pharmaceuticals Ltd),Diclofenac sodium,10010100
Pain medication,Diclofenac,58048,47557020,Diclofenac sodium 50mg gastro-resistant tablets (Waymade Healthcare Plc),Diclofenac sodium,10010100
Pain medication,Diclofenac,10792,49459020,Voltarol 50mg Suppository (Novartis Pharmaceuticals UK Ltd),Diclofenac sodium,10010100/10010450
Pain medication,Diclofenac,32536,49461020,Diclofenac 25mg Tablet (Berk Pharmaceuticals Ltd),Diclofenac sodium,10010100/10010450
Pain medication,Diclofenac,28256,49462020,Diclofenac 50mg Tablet (Berk Pharmaceuticals Ltd),Diclofenac sodium,10010100/10010450
Pain medication,Diclofenac,612,50464020,Dicloflex 25mg gastro-resistant tablets (Dexcel-Pharma Ltd),Diclofenac sodium,10010100
Pain medication,Diclofenac,4692,50465020,Dicloflex 50mg gastro-resistant tablets (Dexcel-Pharma Ltd),Diclofenac sodium,10010100
Pain medication,Diclofenac,8789,50466020,Dicloflex retard tabs 100 100mg Modified-release tablet (Dexcel-Pharma Ltd),Diclofenac sodium,10010100/10010450
Pain medication,Diclofenac,33559,51185020,Diclofenac 50mg Tablet (C P Pharmaceuticals Ltd),Diclofenac sodium,10010100/10010450
Pain medication,Diclofenac,24128,51193020,Diclofenac sodium 25mg gastro-resistant tablets (A A H Pharmaceuticals Ltd),Diclofenac sodium,10010100
Pain medication,Diclofenac,26165,51194020,Diclofenac sodium 50mg gastro-resistant tablets (A A H Pharmaceuticals Ltd),Diclofenac sodium,10010100
Pain medication,Diclofenac,31589,51195020,Diclofenac sodium 75mg modified-release tablets (A A H Pharmaceuticals Ltd),Diclofenac sodium,10010100
Pain medication,Diclofenac,34091,51270020,Diclofenac sodium 25mg gastro-resistant tablets (Sandoz Ltd),Diclofenac sodium,10010100
Pain medication,Diclofenac,29330,51271020,Diclofenac sodium 50mg gastro-resistant tablets (Sandoz Ltd),Diclofenac sodium,10010100
Pain medication,Diclofenac,447,52256020,Diclofenac sodium 75mg modified-release capsules,Diclofenac sodium,10010100
Pain medication,Diclofenac,70438,52790021,Arthrotec 50 gastro-resistant tablets (Lexon (UK) Ltd),Diclofenac sodium/Misoprostol,10010100
Pain medication,Diclofenac,65528,52791021,Arthrotec 75 gastro-resistant tablets (Lexon (UK) Ltd),Diclofenac sodium/Misoprostol,10010100
Pain medication,Diclofenac,69683,53046021,Diclofenac 2.32% gel (Colorama Pharmaceuticals Ltd),Diclofenac diethylammonium,10010100/10030250
Pain medication,Diclofenac,1139,53288020,Voltarol 25mg Tablet (Novartis Pharmaceuticals UK Ltd),Diclofenac sodium,10010100/10010450
Pain medication,Diclofenac,1446,53289020,Voltarol 50mg Tablet (Novartis Pharmaceuticals UK Ltd),Diclofenac sodium,10010100/10010450
