Category,Medcode,Read V2 Code,Read Term
Coronary heart disease,4656,G311.11,Crescendo angina
Coronary heart disease,39655,G311.12,Impending infarction
Coronary heart disease,1431,G311.13,Unstable angina
Coronary heart disease,19655,G311.14,Angina at rest
Coronary heart disease,7347,G311100,Unstable angina
Coronary heart disease,17307,G311200,Angina at rest
Coronary heart disease,34328,G311300,Refractory angina
Coronary heart disease,18118,G311400,Worsening angina
Coronary heart disease,11983,G311500,Acute coronary syndrome
Coronary heart disease,54251,G311z00,Preinfarction syndrome NOS
Coronary heart disease,39449,G312.00,Coronary thrombosis not resulting in myocardial infarction
Coronary heart disease,9413,G31y.00,Other acute and subacute ischaemic heart disease
Coronary heart disease,9276,G31y000,Acute coronary insufficiency
Coronary heart disease,68357,G31y100,Microinfarction of heart
Coronary heart disease,39693,G31y200,Subendocardial ischaemia
Coronary heart disease,21844,G31y300,Transient myocardial ischaemia
Coronary heart disease,27977,G31yz00,Other acute and subacute ischaemic heart disease NOS
Coronary heart disease,4017,G32..00,Old myocardial infarction
Coronary heart disease,16408,G32..11,Healed myocardial infarction
Coronary heart disease,1430,G33..00,Angina pectoris
Coronary heart disease,20095,G330.00,Angina decubitus
Coronary heart disease,18125,G330000,Nocturnal angina
Coronary heart disease,29902,G330z00,Angina decubitus NOS
Coronary heart disease,12986,G331.00,Prinzmetal's angina
Coronary heart disease,11048,G331.11,Variant angina pectoris
Coronary heart disease,36854,G332.00,Coronary artery spasm
Coronary heart disease,25842,G33z.00,Angina pectoris NOS
Coronary heart disease,66388,G33z000,Status anginosus
Coronary heart disease,7696,G33z200,Syncope anginosa
Coronary heart disease,1414,G33z300,Angina on effort
Coronary heart disease,32450,G33z400,Ischaemic chest pain
Coronary heart disease,9555,G33z500,Post infarct angina
Coronary heart disease,26863,G33z600,New onset angina
Coronary heart disease,12804,G33z700,Stable angina
Coronary heart disease,28554,G33zz00,Angina pectoris NOS
Coronary heart disease,28138,G34..00,Other chronic ischaemic heart disease
Coronary heart disease,5413,G340.00,Coronary atherosclerosis
Coronary heart disease,1655,G340.11,Triple vessel disease of the heart
Coronary heart disease,1344,G340.12,Coronary artery disease
Coronary heart disease,3999,G340000,Single coronary vessel disease
Coronary heart disease,5254,G340100,Double coronary vessel disease
Coronary heart disease,36609,G342.00,Atherosclerotic cardiovascular disease
Coronary heart disease,7320,G343.00,Ischaemic cardiomyopathy
Coronary heart disease,29421,G344.00,Silent myocardial ischaemia
Coronary heart disease,34633,G34y.00,Other specified chronic ischaemic heart disease
Coronary heart disease,24540,G34y000,Chronic coronary insufficiency
Coronary heart disease,23078,G34y100,Chronic myocardial ischaemia
Coronary heart disease,35713,G34yz00,Other specified chronic ischaemic heart disease NOS
Coronary heart disease,15754,G34z.00,Other chronic ischaemic heart disease NOS
Coronary heart disease,18889,G34z000,Asymptomatic coronary heart disease
Coronary heart disease,18842,G35..00,Subsequent myocardial infarction
Coronary heart disease,45809,G350.00,Subsequent myocardial infarction of anterior wall
Coronary heart disease,38609,G351.00,Subsequent myocardial infarction of inferior wall
Coronary heart disease,72562,G353.00,Subsequent myocardial infarction of other sites
Coronary heart disease,46166,G35X.00,Subsequent myocardial infarction of unspecified site
Coronary heart disease,36423,G36..00,Certain current complication follow acute myocardial infarct
Coronary heart disease,23708,G361.00,Atrial septal defect/curr comp folow acut myocardal infarct
Coronary heart disease,37657,G362.00,Ventric septal defect/curr comp fol acut myocardal infarctn
Coronary heart disease,59189,G363.00,Ruptur cardiac wall w'out haemopericard/cur comp fol ac MI
Coronary heart disease,29553,G366.00,"Thrombosis atrium,auric append&vent/curr comp foll acute MI"
Coronary heart disease,32272,G38..00,Postoperative myocardial infarction
Coronary heart disease,46112,G380.00,Postoperative transmural myocardial infarction anterior wall
Coronary heart disease,46276,G381.00,Postoperative transmural myocardial infarction inferior wall
Coronary heart disease,41835,G384.00,Postoperative subendocardial myocardial infarction
Coronary heart disease,68748,G38z.00,"Postoperative myocardial infarction, unspecified"
Coronary heart disease,22383,G3y..00,Other specified ischaemic heart disease
Coronary heart disease,1676,G3z..00,Ischaemic heart disease NOS
Coronary heart disease,39546,Gyu3000,[X]Other forms of angina pectoris
Coronary heart disease,96838,Gyu3400,[X]Acute transmural myocardial infarction of unspecif site
Coronary heart disease,99991,Gyu3600,[X]Subsequent myocardial infarction of unspecified site
Coronary heart disease,12734,SP07600,Coronary artery bypass graft occlusion
Coronary heart disease,59350,ZR37.00,Canadian Cardiovascular Society classification of angina
Coronary heart disease,55673,ZR3P.00,CLASP angina score
Coronary heart disease,57910,ZR3P.11,CLASP angina score
Coronary heart disease,98295,ZRB1.00,Euroscore for angina
Coronary heart disease,18913,ZV45700,[V]Presence of aortocoronary bypass graft
Coronary heart disease,5030,ZV45K00,[V]Presence of coronary artery bypass graft
Coronary heart disease,5674,ZV45K11,[V]Presence of coronary artery bypass graft - CABG
